date,NDVI,NDVI_smoothed
2018-01-20,0.13486949562786585,
2018-01-22,0.07860210253122121,
2018-02-07,0.07429852770020641,0.09764684854279788
2018-02-14,0.11950132257184098,0.10956392721427086
2018-02-23,0.08096279428285494,0.11118055953307462
2018-03-09,0.19445488898523078,0.1282081796956171
2018-03-27,0.08668526412523993,0.1385211515600184
2018-04-03,0.15943662851291884,0.14058864869047738
2018-04-19,0.17106618189384754,0.1349829424885282
2018-04-28,0.09130027993514978,0.13607802832678306
2018-05-05,0.16642635797548494,0.12228250702209487
2018-05-14,0.09216069331651425,0.1263421253505335
2018-05-30,0.09045902198947782,0.12594747015288307
2018-06-13,0.19136427353604063,0.11763462218420902
2018-06-15,0.08932700394689772,0.1322432967392817
2018-06-22,0.12486211813211466,0.13142442120958367
2018-06-29,0.16520406609187765,0.11620826178118478
2018-07-01,0.08636464434098763,0.1141477098266583
2018-07-08,0.11528347639404624,0.11153005514580108
2018-07-17,0.07902424417426528,0.1039711605791144
2018-07-24,0.11177384472782856,0.1030587107279203
2018-07-31,0.1274095932584443,0.10328090091208883
2018-08-02,0.08180239508501713,0.11723529446065836
2018-08-09,0.11639442731488889,0.11068048312493808
2018-08-16,0.14879621191711298,0.10794511415831107
2018-08-18,0.07899978804922714,0.11861241088236896
2018-08-25,0.11373274842530925,0.11187937267076505
2018-09-01,0.1351388787053066,0.11009677750991773
2018-09-03,0.08272923625686922,0.1115689019762661
2018-09-17,0.13988323611287645,0.11106593014563196
2018-09-19,0.086360410380969,0.11224249345881905
2018-09-26,0.11121788927213849,0.11298694922318393
2018-10-03,0.141021695271242,0.10842103964095533
2018-10-05,0.08645151507869368,0.10909020371386353
2018-10-12,0.11705368820173348,0.10540266537027729
2018-10-21,0.08970623074551001,0.095372870130589
2018-11-06,0.09278019755420727,0.10425836683962215
2018-11-22,0.09087271907280055,0.11866796196058944
2018-11-29,0.1308789986238595,0.11996463856210837
2018-12-06,0.18910166380656993,0.1286366886344008
2018-12-08,0.09618961375310463,0.15083547680509976
2018-12-15,0.13614044791566948,0.1434556401044111
2018-12-22,0.20186665992629532,0.13393962883329633
2018-12-24,0.09397981512041598,0.15568144871111358
2018-12-31,0.14152160745099626,0.14683837639651193
2019-01-07,0.20489871314219082,0.1342900527123405
2019-01-09,0.0919250863426612,0.1338109682588216
2019-01-16,0.13912504150543828,0.14530109525782325
2019-01-25,0.09158439285282141,0.12216425285413038
2019-02-08,0.1989722424460046,0.1521939451492328
2019-02-10,0.08921450112372636,0.14213599406607638
2019-02-24,0.24207354781817336,0.17265568083142738
2019-02-26,0.08883528608965618,0.15070746344218938
2019-03-12,0.24418282667957633,0.18361912726201485
2019-03-14,0.0892311554998146,0.1804727004266998
2019-03-28,0.25377282022285375,0.1803817745541781
2019-04-13,0.22634141364159813,0.17321868489939587
2019-04-15,0.08838065672704763,0.18425127879050335
2019-04-29,0.20836737840566522,0.16978679498617805
2019-05-08,0.144394124955352,0.15167259159611404
2019-05-15,0.18145040120122724,0.16609525804020026
2019-05-24,0.13577039669127816,0.1417013741891921
2019-05-31,0.16049398894747877,0.13736184013130662
2019-06-02,0.08639795915062429,0.13004023972893375
2019-06-09,0.12269645466592465,0.11990338976241677
2019-06-16,0.14484239918936284,0.11128963684997326
2019-06-18,0.08508614685869322,0.12367031716753132
2019-06-25,0.11742522438526136,0.11594561721355486
2019-07-02,0.14830136073841454,0.10819566175838717
2019-07-04,0.08407295489604233,0.11836650212183106
2019-07-11,0.10609262191352445,0.11105612843840795
2019-07-18,0.13594034867591262,0.10341436152707537
2019-07-20,0.0808733559681458,0.11171998003774646
2019-07-27,0.11009252618175168,0.10611052614733726
2019-08-03,0.1256010474493977,0.09998183927054578
2019-08-05,0.07804535246147848,0.10966350230950121
2019-08-12,0.10529691429195524,0.10408671512094747
2019-08-19,0.129281671162923,0.09984743234747953
2019-08-21,0.08220859023898287,0.1082438555922701
2019-08-28,0.10440463358205809,0.10366128328651411
2019-09-04,0.12002746868543124,0.09946269455238713
2019-09-06,0.08238405276317537,0.10372543820268935
2019-09-13,0.108288727492288,0.10755869547794843
2019-09-29,0.10352230849049412,0.09984743336500536
2019-10-06,0.12357091995835334,0.10371133101125149
2019-10-08,0.08147115812071591,0.09876546263908544
2019-10-15,0.10170354099440607,0.10046119393507376
2019-10-24,0.08355938563145773,0.10245177502519062
2019-10-31,0.11200096497043575,0.10258137780442542
2019-11-07,0.13352382540893762,0.09894967446708249
2019-11-09,0.08211917201688998,0.11151198459451168
2019-11-25,0.08354502430769131,0.10653045413781204
2019-12-09,0.14637093626860373,0.10152189825914996
2019-12-11,0.08709331268693751,0.1017370439096876
2019-12-18,0.1084810460156273,0.11128648598981017
2019-12-27,0.08319490026957824,0.1166667206103352
2020-01-03,0.1312922347083041,0.11703142792991048
2020-01-10,0.17327210937122892,0.12087452485252378
2020-01-28,0.08891684928481389,0.14787531481441002
2020-02-04,0.12769653062869382,0.13848624686373437
2020-02-11,0.21819885007900927,0.14627577486516752
2020-02-13,0.0843468949549259,0.1543875310446575
2020-02-27,0.21221974937839466,0.14478352711260736
2020-03-07,0.12947563018226385,0.13898481212680783
2020-03-16,0.07967651096844312,0.15998741602182945
2020-03-30,0.18920527515001162,0.1377599234372462
2020-05-01,0.18935991443003397,0.14433195512432037
2020-05-03,0.10108228645547829,0.14802070933496908
2020-05-17,0.16233578861763498,0.13676926405782303
2020-05-19,0.09812028202168657,0.1320707669401015
2020-05-26,0.13294804876428137,0.13106674164509502
2020-06-02,0.1658674288414264,0.11691602564522667
